seed,generator,scenario,model,test_accuracy,test_precision,test_recall,test_f1
46,CTGAN,10x,MLP,0.48905109489051096,0.2542372881355932,0.36585365853658536,0.3
46,CTGAN,30x,LR,0.5985401459854015,0.38333333333333336,0.5609756097560976,0.45544554455445546
46,CTGAN,30x,SVM,0.5693430656934306,0.359375,0.5609756097560976,0.4380952380952381
46,CTGAN,30x,KNN,0.5766423357664233,0.36065573770491804,0.5365853658536586,0.43137254901960786
46,CTGAN,30x,RF,0.5109489051094891,0.3194444444444444,0.5609756097560976,0.40707964601769914
46,CTGAN,30x,GB,0.5766423357664233,0.3508771929824561,0.4878048780487805,0.40816326530612246
46,CTGAN,30x,MLP,0.5620437956204379,0.36619718309859156,0.6341463414634146,0.4642857142857143
46,TVAE,10x,LR,0.635036496350365,0.3548387096774194,0.2682926829268293,0.3055555555555556
46,TVAE,10x,SVM,0.6788321167883211,0.45454545454545453,0.36585365853658536,0.40540540540540543
46,TVAE,10x,KNN,0.6204379562043796,0.36585365853658536,0.36585365853658536,0.36585365853658536
46,TVAE,10x,RF,0.6715328467153284,0.4411764705882353,0.36585365853658536,0.4
46,TVAE,10x,GB,0.6715328467153284,0.4444444444444444,0.3902439024390244,0.4155844155844156
46,TVAE,10x,MLP,0.6642335766423357,0.41379310344827586,0.2926829268292683,0.34285714285714286
46,TVAE,30x,LR,0.6642335766423357,0.41935483870967744,0.3170731707317073,0.3611111111111111
46,TVAE,30x,SVM,0.7007299270072993,0.5,0.34146341463414637,0.4057971014492754
46,TVAE,30x,KNN,0.6423357664233577,0.4,0.3902439024390244,0.3950617283950617
46,TVAE,30x,RF,0.6934306569343066,0.4864864864864865,0.43902439024390244,0.46153846153846156
46,TVAE,30x,GB,0.6642335766423357,0.42424242424242425,0.34146341463414637,0.3783783783783784
46,TVAE,30x,MLP,0.656934306569343,0.38461538461538464,0.24390243902439024,0.29850746268656714
